property_id,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,Total_Area
3507838,House,17000000,Paragon City,Lahore,Punjab,31.530739,74.456184,5,For Sale,5,6/11/2019,2722.51
3541183,House,25000000,IEP Engineers Town,Lahore,Punjab,31.402513,74.292798,5,For Sale,4,2/1/2019,4900.518
1422699,House,8500000,Muslim Town,Faisalabad,Punjab,31.47005202,73.08828592,5,For Sale,4,7/17/2019,1361.255
2502517,House,25000000,Millat Town,Faisalabad,Punjab,31.490612,73.10647,6,For Sale,5,7/3/2019,65340
2799588,House,6000000,Raza Abad,Faisalabad,Punjab,31.42599,73.048217,2,For Sale,4,6/19/2019,6806.275
3130278,House,60000000,Satiana Road,Faisalabad,Punjab,31.372179,73.125594,6,For Sale,6,2/17/2019,87120
425947,House,13500000,Humak,Rawalpindi,Punjab,33.538462,73.144913,4,For Sale,5,4/5/2019,1905.757
487921,House,31500000,Westridge,Rawalpindi,Punjab,33.607829,73.021817,10,For Sale,12,7/4/2019,65340
488267,House,23000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.138218,6,For Sale,6,7/17/2019,2722.51
798929,House,9990000,Gulshan Abad,Rawalpindi,Punjab,33.530556,73.061264,2,For Sale,3,5/5/2019,2722.51
843206,House,22500000,Media Town,Rawalpindi,Punjab,33.560887,73.125937,5,For Sale,5,10/19/2018,3267.012
934724,House,40000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.130536,8,For Sale,6,7/4/2019,5445
940203,House,9000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393,4,For Sale,3,7/4/2019,1361.255
998953,House,12800000,Chaklala Scheme,Rawalpindi,Punjab,33.656924,73.143826,0,For Sale,0,11/6/2018,1905.757
1232114,House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.138218,8,For Sale,6,7/5/2019,5445
1253008,House,23000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555594,73.133669,6,For Sale,5,7/5/2019,3267.012
1273436,House,39500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,7,For Sale,6,7/5/2019,5445
1298962,House,21000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.138218,7,For Sale,5,7/5/2019,2722.51
1402499,House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,5,For Sale,5,10/19/2018,5445
1415183,House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,7,For Sale,6,7/5/2019,5445
1423085,House,37500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.138218,7,For Sale,5,7/5/2019,5445
1594906,Flat,4800000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550096,73.123815,1,For Sale,1,6/20/2019,10345.538
2207932,House,35000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550408,73.115473,5,For Sale,5,1/18/2019,5445
2253425,Penthouse,25000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.521053,73.107756,4,For Sale,4,7/16/2019,2722.51
2253437,Flat,7500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550096,73.123815,2,For Sale,2,7/16/2019,14973.804999999998
2350458,House,12800000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.495991,73.100195,4,For Sale,4,7/15/2019,1905.757
2561049,House,5000000,Chakri Road,Rawalpindi,Punjab,33.56371244,73.01578213,5,For Sale,6,7/5/2019,1361.255
2720301,House,22000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,6,For Sale,5,7/5/2019,2722.51
2720314,House,38000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,7,For Sale,6,7/5/2019,5445
2800276,House,18000000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,4,For Sale,4,3/6/2019,2722.51
2800278,House,25000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,5,For Sale,4,6/27/2019,2722.51
2800283,House,30000000,Askari 12,Rawalpindi,Punjab,33.597588,73.080837,6,For Sale,4,6/4/2019,2722.51
2800285,House,23000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,5,For Sale,4,6/27/2019,2722.51
2956901,House,30000000,Judicial Colony,Rawalpindi,Punjab,33.595729,73.134502,8,For Sale,10,6/13/2019,5445
3004205,House,32000000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,5,For Sale,5,7/1/2019,59895
3075436,House,40000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,8,For Sale,7,6/20/2019,81675
3293438,House,25000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,6,For Sale,5,6/27/2019,2722.51
3304713,House,6000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.498497,73.101182,2,For Sale,2,7/16/2019,1361.255
3362150,House,23800000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,0,For Sale,4,6/27/2019,2722.51
3362151,House,28000000,Askari 10,Rawalpindi,Punjab,33.586989,73.077743,5,For Sale,5,6/4/2019,2722.51
3395976,House,5300000,Gulshan-e-Iqbal,Rawalpindi,Punjab,33.551195,73.026159,3,For Sale,2,5/5/2019,1361.255
3504704,House,19900000,Shalley Valley,Rawalpindi,Punjab,33.597548,73.014176,6,For Sale,6,2/4/2019,2722.51
3534293,House,15000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,4,For Sale,3,6/27/2019,1361.255
3541894,House,18000000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,5,For Sale,4,6/13/2019,2722.51
3542097,House,24500000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,5,For Sale,4,6/27/2019,2722.51
3560427,House,27000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,4,For Sale,4,6/27/2019,2722.51
3560428,House,18000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,3,For Sale,3,6/27/2019,1361.255
86575,House,450000000,Cantt,Karachi,Sindh,24.889395,67.098627,7,For Sale,6,6/20/2019,21780
342005,House,35000000,Gulistan-e-Jauhar,Karachi,Sindh,24.91498756,67.13870239,8,For Sale,6,7/18/2019,4356.016
466607,Flat,21000000,DHA Defence,Karachi,Sindh,24.81436729,67.07208252,3,For Sale,3,10/20/2018,24230.339
678919,House,6500000,Malir,Karachi,Sindh,24.882302,67.184677,1,For Sale,2,3/10/2019,8712.032
813506,House,13000000,Gadap Town,Karachi,Sindh,25.018156,67.066864,4,For Sale,4,7/18/2019,26136.096
1010365,House,32000000,DHA Defence,Karachi,Sindh,24.81830902,67.08087802,4,For Sale,4,6/20/2019,1089.004
1097917,House,4000000,Malir,Karachi,Sindh,24.90008813,67.20579822,3,For Sale,7,10/20/2018,8712.032
1260475,Flat,16500000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.92349243,67.0817337,4,For Sale,4,6/5/2019,26680.598
1631292,House,110000000,DHA Defence,Karachi,Sindh,24.805045,67.064323,6,For Sale,6,5/6/2019,5445
1902788,House,12800000,Scheme 33,Karachi,Sindh,24.964623,67.168558,6,For Sale,5,6/14/2019,26136.096
2290028,Flat,30000000,Cantt,Karachi,Sindh,24.937425,67.182856,3,For Sale,3,6/14/2019,27769.602
2290030,Flat,34000000,Cantt,Karachi,Sindh,24.937425,67.182856,4,For Sale,3,6/14/2019,31036.614
2290031,Flat,29500000,Cantt,Karachi,Sindh,24.937425,67.182856,0,For Sale,3,6/14/2019,31036.614
2290032,Flat,30000000,Cantt,Karachi,Sindh,24.937425,67.182856,0,For Sale,3,6/14/2019,31036.614
2290033,Flat,37500000,Cantt,Karachi,Sindh,24.937425,67.182856,0,For Sale,4,6/14/2019,35664.880999999994
2478189,Flat,45000000,Bath Island,Karachi,Sindh,24.83566,67.0286,0,For Sale,3,2/16/2019,24230.339
2727355,House,17000000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.939604,67.095909,5,For Sale,4,3/19/2019,13068.048
2733346,Flat,12500000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.920535,67.08312,3,For Sale,3,6/5/2019,20691.076
2755668,Flat,5000000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.95618,67.115135,0,For Sale,2,11/19/2018,14701.553999999998
2804200,Flat,4100000,Abul Hassan Isphani Road,Karachi,Sindh,24.941817,67.098056,2,For Sale,2,6/7/2019,8712.032
2805158,House,40000000,Nazimabad,Karachi,Sindh,24.906134,67.023983,8,For Sale,11,2/17/2019,36481.634
2860713,Flat,28000000,Cantt,Karachi,Sindh,24.937425,67.182856,3,For Sale,3,6/14/2019,31036.614
2860714,Flat,32500000,Cantt,Karachi,Sindh,24.937425,67.182856,3,For Sale,3,6/14/2019,31036.614
2860715,Flat,40000000,Cantt,Karachi,Sindh,24.937425,67.182856,4,For Sale,4,6/14/2019,35937.132
3011860,House,59500000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,5,6/5/2019,3811.514
3011866,House,71500000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,5,6/5/2019,5445
3011868,House,55000000,Malir,Karachi,Sindh,24.956491,67.219341,4,For Sale,4,5/6/2019,3811.514
3011910,House,59500000,Malir,Karachi,Sindh,24.956491,67.219341,6,For Sale,5,6/5/2019,3811.514
3011916,House,68500000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,5,6/5/2019,5445
3011918,House,58500000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,4,6/5/2019,3811.514
3012199,House,67000000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,5,6/5/2019,5445
3023562,House,120000000,Falcon Complex Faisal,Karachi,Sindh,24.865828,67.088388,5,For Sale,5,6/5/2019,5445
3083937,House,58500000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,4,6/20/2019,3811.514
3083938,House,58000000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,4,6/20/2019,3811.514
3084030,House,110000000,Falcon Complex Faisal,Karachi,Sindh,24.865828,67.088388,5,For Sale,5,6/29/2019,5445
3084031,House,119000000,Falcon Complex Faisal,Karachi,Sindh,24.865828,67.088388,5,For Sale,5,6/29/2019,5445
3084032,House,115000000,Falcon Complex Faisal,Karachi,Sindh,24.865828,67.088388,0,For Sale,5,6/20/2019,5445
3084036,House,59500000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,4,6/20/2019,3811.514
3089236,House,19000000,Shahra-e-Faisal,Karachi,Sindh,24.86767062,67.1945917,4,For Sale,4,7/18/2019,26136.096
3111513,Flat,7550000,Gizri,Karachi,Sindh,24.820393,67.0468,2,For Sale,2,3/18/2019,14157.052
3193846,House,91500000,DHA Defence,Karachi,Sindh,24.79966354,67.0553894,6,For Sale,5,7/1/2019,65340
3431065,Flat,4500000,Saddar Town,Karachi,Sindh,24.860389,67.027795,1,For Sale,2,7/18/2019,3539.263
3478944,Flat,6900000,Scheme 33,Karachi,Sindh,24.969194,67.134492,3,For Sale,4,6/5/2019,16607.310999999998
3493723,Flat,4500000,Gulistan-e-Jauhar,Karachi,Sindh,24.924636,67.141903,2,For Sale,2,10/20/2018,13068.048
3510354,House,20000000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.911726,67.098014,3,For Sale,2,1/18/2019,13068.048
3516247,House,72500000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.910435,67.090523,0,For Sale,0,3/10/2019,65340
3531574,House,85000000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.910435,67.090523,6,For Sale,6,3/10/2019,5445
3548408,House,60000000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.899565,67.081322,4,For Sale,4,2/17/2019,26408.347
3548450,House,120000000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.90628,67.086254,6,For Sale,6,2/17/2019,65340
3594284,Flat,45000000,DHA Defence,Karachi,Sindh,24.782215,67.074537,4,For Sale,3,6/30/2019,26408.347
3594294,Flat,35000000,DHA Defence,Karachi,Sindh,24.782215,67.074537,3,For Sale,2,6/30/2019,24774.841
3594297,Flat,25000000,DHA Defence,Karachi,Sindh,24.752502,67.074019,1,For Sale,1,6/30/2019,1633.506
3719655,House,38800000,Emaar Canyon Views,Islamabad,Islamabad Capital,33.518929,73.184692,4,For Sale,5,7/4/2019,81675
3728542,Flat,2500000,D-17,Islamabad,Islamabad Capital,33.659746,72.860341,0,For Sale,0,2/4/2019,5989.521999999999
3933565,Flat,15500000,DHA Defence,Islamabad,Islamabad Capital,33.538087,73.164536,4,For Sale,4,6/4/2019,3267.012
4015520,House,46500000,G-13,Islamabad,Islamabad Capital,33.645957,72.962472,9,For Sale,9,4/5/2019,29675.359
4165171,Flat,3200000,F-17,Islamabad,Islamabad Capital,33.63513106,72.87444949,2,For Sale,2,7/4/2019,10073.286999999998
4227904,House,14000000,F-17,Islamabad,Islamabad Capital,33.631987,72.880297,6,For Sale,4,6/27/2019,1905.757
4333092,Flat,3965000,I-12,Islamabad,Islamabad Capital,33.629628,73.002419,2,For Sale,2,2/4/2019,11434.542
4358106,House,32500000,Korang Town,Islamabad,Islamabad Capital,33.579034,73.139591,9,For Sale,7,6/19/2019,3267.012
4390797,Flat,7800000,F-10,Islamabad,Islamabad Capital,33.695352,73.006983,2,For Sale,2,7/4/2019,15790.558
4590970,House,30000000,Bahria Town,Islamabad,Islamabad Capital,33.695973,73.215615,7,For Sale,6,6/12/2019,2722.51
4801631,House,21000000,Bahria Town,Islamabad,Islamabad Capital,33.55083727,73.10628891,6,For Sale,5,2/4/2019,2722.51
4858041,Flat,8000000,Bahria Town,Islamabad,Islamabad Capital,33.692638,73.218813,2,For Sale,2,6/26/2019,16607.310999999998
3892035,House,17600000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,5/3/2019,2722.51
3892037,House,17500000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,5/3/2019,2722.51
3931877,House,35000000,Askari,Lahore,Punjab,31.533849,74.409633,5,For Sale,4,6/18/2019,4628.267
3931998,House,22000000,Askari,Lahore,Punjab,31.537458,74.413323,5,For Sale,4,6/18/2019,2722.51
3932053,House,23500000,Askari,Lahore,Punjab,31.533161,74.419481,6,For Sale,5,6/18/2019,2722.51
3932098,House,41500000,Askari,Lahore,Punjab,31.533161,74.419481,6,For Sale,5,6/18/2019,5445
3932130,House,23000000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,6/18/2019,2722.51
3932163,House,23000000,Askari,Lahore,Punjab,31.53327,74.41358,5,For Sale,4,6/18/2019,2722.51
3932175,House,20500000,Askari,Lahore,Punjab,31.536068,74.408666,4,For Sale,3,6/18/2019,2722.51
3932182,House,21000000,Askari,Lahore,Punjab,31.536068,74.408666,4,For Sale,3,6/18/2019,2722.51
3965775,House,19200000,Architects Engineers Housing Society,Lahore,Punjab,31.443749,74.259152,7,For Sale,5,2/3/2019,2722.51
3977801,House,7700000,Paragon City,Lahore,Punjab,31.533372,74.451342,4,For Sale,3,6/12/2019,1089.004
3991627,House,21500000,DHA Defence,Lahore,Punjab,31.469155,74.470553,5,For Sale,4,6/25/2019,2722.51
3998897,House,11800000,Bahria Town,Lahore,Punjab,31.374414,74.177749,4,For Sale,3,5/3/2019,1361.255
4015309,House,26500000,DHA Defence,Lahore,Punjab,31.469155,74.470553,5,For Sale,4,6/25/2019,3811.514
4016954,House,70000000,DHA Defence,Lahore,Punjab,31.469155,74.470553,7,For Sale,6,6/18/2019,10890
4017113,House,49500000,DHA Defence,Lahore,Punjab,31.469155,74.470553,6,For Sale,5,6/25/2019,5445
4034402,House,12500000,Samanabad,Lahore,Punjab,31.539206,74.305515,3,For Sale,2,4/3/2019,14973.804999999998
4100382,House,36000000,Askari,Lahore,Punjab,31.533849,74.409633,5,For Sale,4,6/18/2019,4628.267
4107715,House,36000000,DHA Defence,Lahore,Punjab,31.471571,74.445906,6,For Sale,5,6/25/2019,5445
4111694,House,51000000,DHA Defence,Lahore,Punjab,31.466227,74.427137,6,For Sale,5,6/25/2019,5445
4153988,House,20000000,Bahria Town,Lahore,Punjab,31.37108,74.190316,7,For Sale,5,11/5/2018,2722.51
4159826,House,6000000,Allama Iqbal Town,Lahore,Punjab,31.518337,74.297862,2,For Sale,3,2/3/2019,544.502
4170552,House,5500000,Allama Iqbal Town,Lahore,Punjab,31.518337,74.297862,2,For Sale,3,4/4/2019,544.502
4249571,House,65000000,Gulberg,Lahore,Punjab,31.526751,74.337072,0,For Sale,0,4/3/2019,59895
4304977,House,35000000,DHA Defence,Lahore,Punjab,31.465422,74.385309,6,For Sale,5,6/26/2019,5445
4307496,House,17500000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,5/3/2019,2722.51
4339824,House,52500000,DHA Defence,Lahore,Punjab,31.466227,74.440012,6,For Sale,5,6/25/2019,5445
4352352,House,35000000,Gulberg,Lahore,Punjab,31.505678,74.348202,8,For Sale,5,5/3/2019,3267.012
4375535,House,22500000,Askari,Lahore,Punjab,31.537458,74.413323,5,For Sale,5,6/18/2019,2722.51
4375549,House,22500000,Askari,Lahore,Punjab,31.57443055,74.44369633,5,For Sale,4,6/18/2019,2722.51
4375556,House,23500000,Askari,Lahore,Punjab,31.71727872,74.45599191,4,For Sale,4,6/18/2019,2722.51
4393127,House,15500000,Allama Iqbal Town,Lahore,Punjab,31.521703,74.298978,5,For Sale,5,7/3/2019,22324.582
4498537,House,37000000,Askari,Lahore,Punjab,31.533849,74.409633,5,For Sale,4,6/18/2019,4628.267
4498557,House,28000000,Askari,Lahore,Punjab,31.536068,74.408666,4,For Sale,4,6/18/2019,3267.012
4498560,House,23500000,Askari,Lahore,Punjab,31.53327,74.41358,5,For Sale,4,6/18/2019,2722.51
4498562,House,22000000,Askari,Lahore,Punjab,31.53327,74.41358,6,For Sale,5,6/18/2019,2722.51
4498563,House,22000000,Askari,Lahore,Punjab,31.537458,74.413323,5,For Sale,4,6/18/2019,2722.51
4498564,House,21500000,Askari,Lahore,Punjab,31.537239,74.420211,5,For Sale,4,6/18/2019,2722.51
4498565,House,22500000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,6/18/2019,2722.51
4536731,House,60000000,Gulberg,Lahore,Punjab,31.521776,74.343538,0,For Sale,0,4/3/2019,5445
